Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500002,ABB India Limited,ABB,ABB India Limited,Active,A ,2,INE117A01022,Heavy Electrical Equipment,Equity
500003,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1,INE208C01025,Oil Marketing & Distribution,Equity
500008,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1,INE885A01032,Auto Parts & Equipment,Equity
500010,Housing Development Finance Corp.Lt,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2,INE001A01036,Housing Finance ,Equity
500020,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,2,INE032A01023,Textiles,Equity
500027,"Atul Limited.,",ATUL,ATUL LTD.,Active,A ,10,INE100A01010,Specialty Chemicals,Equity
500031,"Bajaj Electricals Ltd.,",BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2,INE193E01025,Household Appliances,Equity
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10,INE451A01017,Cars & Utility Vehicles,Equity
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,A ,2,INE296A01024,Finance (including NBFCs),Equity
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1,INE119A01028,Sugar,Equity
500040,"Century Textiles & Industries Ltd.,",CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A ,10,INE055A01016,Paper & Paper Products,Equity
500041,"Bannari Amman Sugars Ltd.,",BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,A ,10,INE459A01010,Sugar,Equity
500042,BASF India Ltd,BASF,BASF INDIA LTD.,Active,A ,10,INE373A01013,Specialty Chemicals,Equity
500043,Bata India Limited,BATAINDIA,BATA INDIA LTD.,Active,A ,5,INE176A01028,Footwear,Equity
500048,BEML Ltd,BEML,BEML LTD.,Active,A ,10,INE258A01016,Commercial Vehicles,Equity
